MEM,func,k,AAE,ARE,_sum,throughput
70,heavykeeper,900,47.3533,0.699486,400/900,16.0154,
70,LossyCounting,900,382.791,374.592,28/900,1.96669,
70,spacesaving,900,663.097,523.771,76/900,18.5529,
70,CuckooCounter,1000,5.478,2.77335,457/1000,19.206,
70,CuckooSketch,1000,1.79,inf,569/1000,21.3133,
70,CuckooSketchPro,1000,0.675,0.174531,581/1000,27.2851,
70,heavykeeper,1000,54.606,0.890298,395/1000,16.2446,
70,LossyCounting,1000,383.997,373.663,28/1000,1.97314,
70,spacesaving,1000,664.977,522.967,80/1000,18.4768,
80,CuckooCounter,100,0.56,0.00226987,91/100,20.5221,
80,CuckooSketch,100,0.02,8.09717e-05,97/100,21.1265,
80,CuckooSketchPro,100,0.01,4.03226e-05,95/100,26.9498,
80,heavykeeper,100,2.33,0.00781413,87/100,17.2795,
80,LossyCounting,100,229.48,207.603,34/100,1.97458,
80,spacesaving,100,420.63,250.715,40/100,18.1736,
80,CuckooCounter,200,0.56,0.0032367,174/200,20.2737,
80,CuckooSketch,200,0.355,0.00144996,180/200,21.0526,
80,CuckooSketchPro,200,0.065,0.000283048,180/200,26.9418,
80,heavykeeper,200,4.03,0.0179267,172/200,17.1081,
80,LossyCounting,200,287.74,276.801,34/200,2.00713,
80,spacesaving,200,508.49,375.969,46/200,18.046,
80,CuckooCounter,300,1.12667,0.553047,295/300,20.0405,
80,CuckooSketch,300,0.236667,0.00096664,296/300,21.0841,
80,CuckooSketchPro,300,0.0433333,0.000188699,296/300,27.019,
80,heavykeeper,300,6.9,0.0366683,295/300,16.7093,
80,LossyCounting,300,307.16,299.868,34/300,1.99362,
80,spacesaving,300,540.31,446.938,46/300,17.9379,
80,CuckooCounter,400,0.1575,0.00297657,400/400,19.755,
80,CuckooSketch,400,0.4525,0.0043928,399/400,21.2296,
80,CuckooSketchPro,400,0.3275,0.00607056,400/400,27.1319,
80,heavykeeper,400,13.2025,0.153767,378/400,16.7054,
80,LossyCounting,400,316.87,311.401,34/400,1.96636,
80,spacesaving,400,554.572,464.042,54/400,17.9401,
80,CuckooCounter,500,0.79,0.157753,462/500,19.4145,
80,CuckooSketch,500,0.562,0.0611749,456/500,21.0186,
80,CuckooSketchPro,500,0.514,0.0199305,457/500,27.1304,
80,heavykeeper,500,13.154,0.224704,390/500,16.5653,
80,LossyCounting,500,322.642,308.952,34/500,1.95282,
80,spacesaving,500,559.282,456.196,67/500,18.1176,
80,CuckooCounter,600,1.53333,0.712919,483/600,18.4874,
80,CuckooSketch,600,0.766667,0.163178,500/600,20.0876,
80,CuckooSketchPro,600,0.53,0.0445941,504/600,25.6266,
80,heavykeeper,600,13.3967,0.292235,415/600,15.2812,
80,LossyCounting,600,326.368,304.322,34/600,1.88768,
80,spacesaving,600,562.312,444.908,77/600,18.0783,
80,CuckooCounter,700,2.57286,1.00699,498/700,19.3002,
80,CuckooSketch,700,0.947143,0.288867,539/700,21.0331,
80,CuckooSketchPro,700,0.534286,0.0760092,548/700,26.8904,
80,heavykeeper,700,15.6686,0.433038,416/700,16.3252,
80,LossyCounting,700,329.03,310.133,34/700,1.98813,
80,spacesaving,700,560.514,430.512,101/700,18.0512,
80,CuckooCounter,800,2.5475,1.3122,510/800,19.1015,
80,CuckooSketch,800,1.0675,0.393633,555/800,20.8956,
80,CuckooSketchPro,800,0.5375,0.103331,567/800,27.0146,
80,heavykeeper,800,21.1125,0.493693,414/800,16.1996,
80,LossyCounting,800,331.026,314.492,34/800,1.94484,
80,spacesaving,800,564.255,440.914,106/800,17.985,
80,CuckooCounter,900,2.90778,1.68993,502/900,19.0429,
80,CuckooSketch,900,1.15667,0.49698,565/900,21.1694,
80,CuckooSketchPro,900,0.563333,0.132445,580/900,27.0592,
80,heavykeeper,900,28.4356,0.506339,414/900,16.0779,
80,LossyCounting,900,332.579,317.881,34/900,1.94297,
80,spacesaving,900,567.56,448.081,109/900,17.9559,
80,CuckooCounter,1000,4.021,1.97295,503/1000,18.8772,
80,CuckooSketch,1000,1.242,0.575282,579/1000,20.7892,
80,CuckooSketchPro,1000,0.585,0.168267,597/1000,26.5802,
80,heavykeeper,1000,34.131,0.656667,411/1000,16.0377,
80,LossyCounting,1000,333.821,320.593,34/1000,1.97969,
80,spacesaving,1000,570.597,458.565,111/1000,17.9934,
90,CuckooCounter,100,0.44,0.00177685,92/100,20.6381,
90,CuckooSketch,100,0.01,2.94118e-05,95/100,20.9,
90,CuckooSketchPro,100,0.01,1.70068e-05,96/100,26.8212,
90,heavykeeper,100,1.98,0.0064345,89/100,17.2188,
90,LossyCounting,100,166.8,82.8923,46/100,1.96958,
90,spacesaving,100,361.92,182.651,40/100,17.6997,
90,CuckooCounter,200,0.385,0.0022359,178/200,20.229,
90,CuckooSketch,200,0.06,0.000253454,180/200,21.1247,
